epoch=124, lr=1.000000e-04, train_total=0.1425272, train_mask=0.0000000, val_total=0.1551466, val_nmse=0.1551466, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=125, lr=1.000000e-04, train_total=0.1424218, train_mask=0.0000000, val_total=0.1548072, val_nmse=0.1548072, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=126, lr=1.000000e-04, train_total=0.1423700, train_mask=0.0000000, val_total=0.1554609, val_nmse=0.1554609, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=127, lr=1.000000e-04, train_total=0.1422975, train_mask=0.0000000, val_total=0.1557717, val_nmse=0.1557717, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=128, lr=1.000000e-04, train_total=0.1424487, train_mask=0.0000000, val_total=0.1557886, val_nmse=0.1557886, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=129, lr=1.000000e-04, train_total=0.1421988, train_mask=0.0000000, val_total=0.1553746, val_nmse=0.1553746, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=130, lr=1.000000e-04, train_total=0.1422316, train_mask=0.0000000, val_total=0.1563215, val_nmse=0.1563215, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=131, lr=1.000000e-04, train_total=0.1421836, train_mask=0.0000000, val_total=0.1553139, val_nmse=0.1553139, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=132, lr=1.000000e-04, train_total=0.1420361, train_mask=0.0000000, val_total=0.1556497, val_nmse=0.1556497, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=133, lr=1.000000e-04, train_total=0.1421362, train_mask=0.0000000, val_total=0.1564812, val_nmse=0.1564812, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=134, lr=1.000000e-04, train_total=0.1420850, train_mask=0.0000000, val_total=0.1569897, val_nmse=0.1569897, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=135, lr=1.000000e-04, train_total=0.1419819, train_mask=0.0000000, val_total=0.1561631, val_nmse=0.1561631, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=136, lr=1.000000e-04, train_total=0.1420372, train_mask=0.0000000, val_total=0.1565945, val_nmse=0.1565945, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=137, lr=1.000000e-04, train_total=0.1419158, train_mask=0.0000000, val_total=0.1564379, val_nmse=0.1564379, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=138, lr=1.000000e-04, train_total=0.1418876, train_mask=0.0000000, val_total=0.1555021, val_nmse=0.1555021, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=139, lr=1.000000e-04, train_total=0.1418652, train_mask=0.0000000, val_total=0.1559865, val_nmse=0.1559865, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=140, lr=1.000000e-04, train_total=0.1418832, train_mask=0.0000000, val_total=0.1560024, val_nmse=0.1560024, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=141, lr=1.000000e-04, train_total=0.1417955, train_mask=0.0000000, val_total=0.1550050, val_nmse=0.1550050, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=142, lr=1.000000e-04, train_total=0.1416974, train_mask=0.0000000, val_total=0.1552459, val_nmse=0.1552459, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=143, lr=1.000000e-04, train_total=0.1417190, train_mask=0.0000000, val_total=0.1565212, val_nmse=0.1565212, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=144, lr=1.000000e-04, train_total=0.1416403, train_mask=0.0000000, val_total=0.1563203, val_nmse=0.1563203, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=145, lr=1.000000e-04, train_total=0.1416711, train_mask=0.0000000, val_total=0.1571636, val_nmse=0.1571636, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
